cal_goodput,cal_openout,method,q1,q2,qr,resource_budget,seed,target_openout,task,threshold
0.3151041666666667,0.032,dino_detector,,,,0.6,0,0.05,full-open,0.0910304466551358
0.3203125,0.016,ensemble_detector,,,,0.6,0,0.05,full-open,0.07239222613889966
0.12065972222222222,0.041379310344827586,deepjscc_pca,,,,0.6,0,0.05,full-open,0.07965306733186805
0.3203125,0.016,witt_context_style,,,,0.6,0,0.05,full-open,0.06299978973437002
0.3203125,0.016,fixed_refine_all,,,,0.6,0,0.05,full-open,0.06299978973437002
0.3272569444444444,0.03826530612244898,opensemcom_progressive,0.08058316242786077,0.6064954098058899,0.2954110913472438,0.6,0,0.05,full-open,
0.3151041666666667,0.032,dino_detector,,,,0.8,0,0.05,full-open,0.0910304466551358
0.3203125,0.016,ensemble_detector,,,,0.8,0,0.05,full-open,0.07239222613889966
0.12065972222222222,0.041379310344827586,deepjscc_pca,,,,0.8,0,0.05,full-open,0.07965306733186805
0.3203125,0.016,witt_context_style,,,,0.8,0,0.05,full-open,0.06299978973437002
0.3203125,0.016,fixed_refine_all,,,,0.8,0,0.05,full-open,0.06299978973437002
0.3272569444444444,0.03826530612244898,opensemcom_progressive,0.08058316242786077,0.6064954098058899,0.2954110913472438,0.8,0,0.05,full-open,
0.3151041666666667,0.032,dino_detector,,,,1.0,0,0.05,full-open,0.0910304466551358
0.3203125,0.016,ensemble_detector,,,,1.0,0,0.05,full-open,0.07239222613889966
0.12065972222222222,0.041379310344827586,deepjscc_pca,,,,1.0,0,0.05,full-open,0.07965306733186805
0.3203125,0.016,witt_context_style,,,,1.0,0,0.05,full-open,0.06299978973437002
0.3203125,0.016,fixed_refine_all,,,,1.0,0,0.05,full-open,0.06299978973437002
0.3272569444444444,0.03826530612244898,opensemcom_progressive,0.08058316242786077,0.6064954098058899,0.2954110913472438,1.0,0,0.05,full-open,
0.007936507936507936,0.0,dino_detector,,,,0.6,0,0.05,deepsense-beam,0.0019674604464611223
0.007936507936507936,0.0,ensemble_detector,,,,0.6,0,0.05,deepsense-beam,0.000779421264174851
0.007936507936507936,0.0,deepjscc_pca,,,,0.6,0,0.05,deepsense-beam,0.0708058139170582
0.007936507936507936,0.0,witt_context_style,,,,0.6,0,0.05,deepsense-beam,0.0007471066513923263
0.007936507936507936,0.0,fixed_refine_all,,,,0.6,0,0.05,deepsense-beam,0.0007471066513923263
0.007936507936507936,0.0,opensemcom_progressive,0.0007471066513923263,0.008777432785330297,0.0007471066513923263,0.6,0,0.05,deepsense-beam,
0.007936507936507936,0.0,dino_detector,,,,0.8,0,0.05,deepsense-beam,0.0019674604464611223
0.007936507936507936,0.0,ensemble_detector,,,,0.8,0,0.05,deepsense-beam,0.000779421264174851
0.007936507936507936,0.0,deepjscc_pca,,,,0.8,0,0.05,deepsense-beam,0.0708058139170582
0.007936507936507936,0.0,witt_context_style,,,,0.8,0,0.05,deepsense-beam,0.0007471066513923263
0.007936507936507936,0.0,fixed_refine_all,,,,0.8,0,0.05,deepsense-beam,0.0007471066513923263
0.007936507936507936,0.0,opensemcom_progressive,0.0007471066513923263,0.008777432785330297,0.0007471066513923263,0.8,0,0.05,deepsense-beam,
0.007936507936507936,0.0,dino_detector,,,,1.0,0,0.05,deepsense-beam,0.0019674604464611223
0.007936507936507936,0.0,ensemble_detector,,,,1.0,0,0.05,deepsense-beam,0.000779421264174851
0.007936507936507936,0.0,deepjscc_pca,,,,1.0,0,0.05,deepsense-beam,0.0708058139170582
0.007936507936507936,0.0,witt_context_style,,,,1.0,0,0.05,deepsense-beam,0.0007471066513923263
0.007936507936507936,0.0,fixed_refine_all,,,,1.0,0,0.05,deepsense-beam,0.0007471066513923263
0.007936507936507936,0.0,opensemcom_progressive,0.0007471066513923263,0.008777432785330297,0.0007471066513923263,1.0,0,0.05,deepsense-beam,
0.3203125,0.016,dino_detector,,,,0.6,1,0.05,full-open,0.03062085943909246
0.3229166666666667,0.008,ensemble_detector,,,,0.6,1,0.05,full-open,0.006809313873329421
0.1189236111111111,0.04861111111111111,deepjscc_pca,,,,0.6,1,0.05,full-open,0.08018545884592171
0.3229166666666667,0.008,witt_context_style,,,,0.6,1,0.05,full-open,0.006965827712671929
0.3229166666666667,0.008,fixed_refine_all,,,,0.6,1,0.05,full-open,0.006965827712671929
0.3263888888888889,0.023376623376623377,opensemcom_progressive,0.0032666874646370757,0.5155737999876451,0.20627146588060502,0.6,1,0.05,full-open,
0.3203125,0.016,dino_detector,,,,0.8,1,0.05,full-open,0.03062085943909246
0.3229166666666667,0.008,ensemble_detector,,,,0.8,1,0.05,full-open,0.006809313873329421
0.1189236111111111,0.04861111111111111,deepjscc_pca,,,,0.8,1,0.05,full-open,0.08018545884592171
0.3229166666666667,0.008,witt_context_style,,,,0.8,1,0.05,full-open,0.006965827712671929
0.3229166666666667,0.008,fixed_refine_all,,,,0.8,1,0.05,full-open,0.006965827712671929
0.3272569444444444,0.028350515463917526,opensemcom_progressive,0.0032666874646370757,0.6482857905960144,0.20627146588060502,0.8,1,0.05,full-open,
0.3203125,0.016,dino_detector,,,,1.0,1,0.05,full-open,0.03062085943909246
0.3229166666666667,0.008,ensemble_detector,,,,1.0,1,0.05,full-open,0.006809313873329421
0.1189236111111111,0.04861111111111111,deepjscc_pca,,,,1.0,1,0.05,full-open,0.08018545884592171
0.3229166666666667,0.008,witt_context_style,,,,1.0,1,0.05,full-open,0.006965827712671929
0.3229166666666667,0.008,fixed_refine_all,,,,1.0,1,0.05,full-open,0.006965827712671929
0.3272569444444444,0.028350515463917526,opensemcom_progressive,0.0032666874646370757,0.6482857905960144,0.20627146588060502,1.0,1,0.05,full-open,
0.16666666666666666,0.045454545454545456,dino_detector,,,,0.6,1,0.05,deepsense-beam,0.06076357965762596
0.031746031746031744,0.0,ensemble_detector,,,,0.6,1,0.05,deepsense-beam,0.016443549762780285
0.007936507936507936,0.0,deepjscc_pca,,,,0.6,1,0.05,deepsense-beam,0.035835545911883426
0.031746031746031744,0.0,witt_context_style,,,,0.6,1,0.05,deepsense-beam,0.016552170574611835
0.031746031746031744,0.0,fixed_refine_all,,,,0.6,1,0.05,deepsense-beam,0.016552170574611835
0.18253968253968253,0.041666666666666664,opensemcom_progressive,0.05925162274190701,0.10269966420891743,0.11335666895626266,0.6,1,0.05,deepsense-beam,
0.16666666666666666,0.045454545454545456,dino_detector,,,,0.8,1,0.05,deepsense-beam,0.06076357965762596
0.031746031746031744,0.0,ensemble_detector,,,,0.8,1,0.05,deepsense-beam,0.016443549762780285
0.007936507936507936,0.0,deepjscc_pca,,,,0.8,1,0.05,deepsense-beam,0.035835545911883426
0.031746031746031744,0.0,witt_context_style,,,,0.8,1,0.05,deepsense-beam,0.016552170574611835
0.031746031746031744,0.0,fixed_refine_all,,,,0.8,1,0.05,deepsense-beam,0.016552170574611835
0.18253968253968253,0.041666666666666664,opensemcom_progressive,0.05925162274190701,0.10269966420891743,0.11335666895626266,0.8,1,0.05,deepsense-beam,
0.16666666666666666,0.045454545454545456,dino_detector,,,,1.0,1,0.05,deepsense-beam,0.06076357965762596
0.031746031746031744,0.0,ensemble_detector,,,,1.0,1,0.05,deepsense-beam,0.016443549762780285
0.007936507936507936,0.0,deepjscc_pca,,,,1.0,1,0.05,deepsense-beam,0.035835545911883426
0.031746031746031744,0.0,witt_context_style,,,,1.0,1,0.05,deepsense-beam,0.016552170574611835
0.031746031746031744,0.0,fixed_refine_all,,,,1.0,1,0.05,deepsense-beam,0.016552170574611835
0.18253968253968253,0.041666666666666664,opensemcom_progressive,0.05925162274190701,0.10269966420891743,0.11335666895626266,1.0,1,0.05,deepsense-beam,
0.3177083333333333,0.024,dino_detector,,,,0.6,2,0.05,full-open,0.08259521449666211
0.3237847222222222,0.005333333333333333,ensemble_detector,,,,0.6,2,0.05,full-open,0.05729339325142557
0.07291666666666667,0.034482758620689655,deepjscc_pca,,,,0.6,2,0.05,full-open,0.038122261877728464
0.3237847222222222,0.005333333333333333,witt_context_style,,,,0.6,2,0.05,full-open,0.06857612328797087
0.3237847222222222,0.005333333333333333,fixed_refine_all,,,,0.6,2,0.05,full-open,0.06857612328797087
0.3263888888888889,0.04568527918781726,opensemcom_progressive,0.01171513502385142,0.6413398976079419,0.5888810937236474,0.6,2,0.05,full-open,
0.3177083333333333,0.024,dino_detector,,,,0.8,2,0.05,full-open,0.08259521449666211
0.3237847222222222,0.005333333333333333,ensemble_detector,,,,0.8,2,0.05,full-open,0.05729339325142557
0.07291666666666667,0.034482758620689655,deepjscc_pca,,,,0.8,2,0.05,full-open,0.038122261877728464
0.3237847222222222,0.005333333333333333,witt_context_style,,,,0.8,2,0.05,full-open,0.06857612328797087
0.3237847222222222,0.005333333333333333,fixed_refine_all,,,,0.8,2,0.05,full-open,0.06857612328797087
0.3263888888888889,0.04568527918781726,opensemcom_progressive,0.01171513502385142,0.6413398976079419,0.5888810937236474,0.8,2,0.05,full-open,
0.3177083333333333,0.024,dino_detector,,,,1.0,2,0.05,full-open,0.08259521449666211
0.3237847222222222,0.005333333333333333,ensemble_detector,,,,1.0,2,0.05,full-open,0.05729339325142557
0.07291666666666667,0.034482758620689655,deepjscc_pca,,,,1.0,2,0.05,full-open,0.038122261877728464
0.3237847222222222,0.005333333333333333,witt_context_style,,,,1.0,2,0.05,full-open,0.06857612328797087
0.3237847222222222,0.005333333333333333,fixed_refine_all,,,,1.0,2,0.05,full-open,0.06857612328797087
0.3263888888888889,0.04568527918781726,opensemcom_progressive,0.01171513502385142,0.6413398976079419,0.5888810937236474,1.0,2,0.05,full-open,
0.05555555555555555,0.0,dino_detector,,,,0.6,2,0.05,deepsense-beam,0.013201479439972436
0.031746031746031744,0.0,ensemble_detector,,,,0.6,2,0.05,deepsense-beam,0.007563082935397383
0.007936507936507936,0.0,deepjscc_pca,,,,0.6,2,0.05,deepsense-beam,0.051926049060116
0.031746031746031744,0.0,witt_context_style,,,,0.6,2,0.05,deepsense-beam,0.007614277117407461
0.031746031746031744,0.0,fixed_refine_all,,,,0.6,2,0.05,deepsense-beam,0.007614277117407461
0.18253968253968253,0.041666666666666664,opensemcom_progressive,0.013079483797685143,0.07973864521188888,0.25430622299512456,0.6,2,0.05,deepsense-beam,
0.05555555555555555,0.0,dino_detector,,,,0.8,2,0.05,deepsense-beam,0.013201479439972436
0.031746031746031744,0.0,ensemble_detector,,,,0.8,2,0.05,deepsense-beam,0.007563082935397383
0.007936507936507936,0.0,deepjscc_pca,,,,0.8,2,0.05,deepsense-beam,0.051926049060116
0.031746031746031744,0.0,witt_context_style,,,,0.8,2,0.05,deepsense-beam,0.007614277117407461
0.031746031746031744,0.0,fixed_refine_all,,,,0.8,2,0.05,deepsense-beam,0.007614277117407461
0.18253968253968253,0.041666666666666664,opensemcom_progressive,0.013079483797685143,0.07973864521188888,0.25430622299512456,0.8,2,0.05,deepsense-beam,
0.05555555555555555,0.0,dino_detector,,,,1.0,2,0.05,deepsense-beam,0.013201479439972436
0.031746031746031744,0.0,ensemble_detector,,,,1.0,2,0.05,deepsense-beam,0.007563082935397383
0.007936507936507936,0.0,deepjscc_pca,,,,1.0,2,0.05,deepsense-beam,0.051926049060116
0.031746031746031744,0.0,witt_context_style,,,,1.0,2,0.05,deepsense-beam,0.007614277117407461
0.031746031746031744,0.0,fixed_refine_all,,,,1.0,2,0.05,deepsense-beam,0.007614277117407461
0.18253968253968253,0.041666666666666664,opensemcom_progressive,0.013079483797685143,0.07973864521188888,0.25430622299512456,1.0,2,0.05,deepsense-beam,
