target_openout,severity,method,seeds,semantic_goodput_mean,semantic_goodput_std,accepted_open_outage_mean,accepted_open_outage_std,coverage_mean,accepted_mean,known_id_accuracy_mean,auroc_mean,fpr95_mean
0.05,extreme,energy,2,0.0244140625,0.006905339660024878,0.039938556067588324,0.010861855317765706,0.025390625,26.0,1.0,0.9887164116439634,0.03260869565217391
0.05,extreme,mahalanobis,3,0.07845052083333333,0.001127637244510988,0.02032520325203252,0.014081713882673796,0.080078125,82.0,0.9963768115942028,0.998950363873857,0.0
0.05,extreme,msp,2,0.0244140625,0.006905339660024878,0.039938556067588324,0.010861855317765706,0.025390625,26.0,1.0,0.9881624370218325,0.03804347826086957
0.05,extreme,one_vs_rest,3,0.0888671875,0.0016914558667664816,0.02150537634408602,0.018624202231923414,0.0908203125,93.0,0.9963768115942028,0.9998056229396032,0.0
0.05,extreme,openmax,3,0.07356770833333333,0.005378486862584084,0.04234417344173441,0.006125725379412307,0.07682291666666667,78.66666666666667,0.9963768115942028,0.9975119736269203,0.0036231884057971015
0.05,extreme,opensemcom,3,0.0888671875,0.0016914558667664816,0.02150537634408602,0.018624202231923414,0.0908203125,93.0,0.9963768115942028,0.9998056229396032,0.0
0.05,extreme,receiver_only,3,0.07747395833333333,0.010257780766008289,0.03683669901215141,0.004709333803649286,0.08040364583333333,82.33333333333333,0.9963768115942028,0.9966120078372831,0.0036231884057971015
0.05,hard,energy,3,0.17805989583333334,0.0552542249810384,0.04870854018274696,6.230846850740755e-05,0.18717447916666666,191.66666666666666,0.99609375,0.9835578070746528,0.037760416666666664
0.05,hard,mahalanobis,3,0.24283854166666666,0.003697205954297053,0.04103031015037594,0.00706653342353843,0.2532552083333333,259.3333333333333,0.99609375,0.998689439561632,0.0013020833333333333
0.05,hard,msp,3,0.17838541666666666,0.05469040635878291,0.04857740983918546,0.00016481594895507483,0.1875,192.0,0.99609375,0.98150634765625,0.040364583333333336
0.05,hard,one_vs_rest,3,0.24772135416666666,0.002255274489021976,0.021596961152882205,0.018808836300866123,0.2532552083333333,259.3333333333333,0.99609375,0.9997948540581597,0.0
0.05,hard,openmax,3,0.23600260416666666,0.005638186222554939,0.04355098238482385,0.0010084560723269,0.24674479166666666,252.66666666666666,0.99609375,0.9975162082248263,0.00390625
0.05,hard,opensemcom,3,0.24772135416666666,0.002255274489021976,0.021596961152882205,0.018808836300866123,0.2532552083333333,259.3333333333333,0.9973958333333334,0.9997948540581597,0.0
0.05,hard,receiver_only,3,0.23990885416666666,0.008807128423482215,0.040302499770768385,0.003318910315755354,0.25,256.0,0.9973958333333334,0.9966532389322916,0.009114583333333334
0.05,medium,energy,3,0.39732142857142855,0.005799277257485076,0.045582352600150734,0.0006401428429619998,0.41629464285714285,373.0,0.9965277777777778,0.9826541476779513,0.04513888888888889
0.05,medium,mahalanobis,3,0.42633928571428575,0.0038661848383233733,0.0377120832336159,0.011168304273825636,0.44308035714285715,397.0,0.9965277777777778,0.9990997314453125,0.0008680555555555555
0.05,medium,msp,3,0.3999255952380952,0.008951792719877946,0.04696164706455158,0.002141923454930612,0.41964285714285715,376.0,0.9965277777777778,0.9809722900390625,0.04513888888888889
0.05,medium,one_vs_rest,3,0.4270833333333333,0.0025774565588822487,0.03602003585628933,0.010891016314766631,0.44308035714285715,397.0,0.9965277777777778,0.9998609754774305,0.0
0.05,medium,openmax,3,0.4215029761904762,0.0061468421286675155,0.04133438746178226,0.00795561091624745,0.43973214285714285,394.0,0.9965277777777778,0.9978247748480902,0.001736111111111111
0.05,medium,opensemcom,3,0.42745535714285715,0.0019330924191616706,0.03517401216762605,0.0110452545969936,0.44308035714285715,397.0,0.9982638888888888,0.9998609754774305,0.0
0.05,medium,receiver_only,3,0.42299107142857145,0.0040240527627946315,0.04530740260231009,0.004521186273152026,0.44308035714285715,397.0,0.9982638888888888,0.9962599012586805,0.00954861111111111
0.05,mild,energy,3,0.5786458333333333,0.0078644108700737,0.04555288461538461,0.006153068819427753,0.6062500000000001,388.0,0.9965277777777778,0.9818352593315973,0.04340277777777777
0.05,mild,mahalanobis,3,0.5979166666666667,0.0036084391824351483,0.03031712200477944,0.013878547359415221,0.6166666666666667,394.6666666666667,0.9965277777777778,0.9989454481336807,0.0
0.05,mild,msp,3,0.578125,0.007160274523368493,0.04640758547008547,0.004676415047199874,0.6062500000000001,388.0,0.9965277777777778,0.980255126953125,0.04513888888888889
0.05,mild,one_vs_rest,3,0.5979166666666667,0.0036084391824351483,0.024590410988395872,0.008728042168576988,0.6130208333333333,392.3333333333333,0.9965277777777778,0.9997999403211805,0.0
0.05,mild,openmax,3,0.5979166666666667,0.0036084391824351483,0.04090438420494486,0.00738927268494929,0.6234375,399.0,0.9965277777777778,0.9977213541666666,0.006944444444444444
0.05,mild,opensemcom,3,0.5989583333333334,0.001804219591217542,0.028637860879674484,0.011750795821916824,0.6166666666666667,394.6666666666667,0.9982638888888888,0.9997999403211805,0.0
0.05,mild,receiver_only,3,0.59375,0.005633673867912456,0.03138280694955758,0.011840890791149835,0.6130208333333333,392.3333333333333,0.9982638888888888,0.9957038031684027,0.008680555555555554
0.1,extreme,energy,2,0.0458984375,0.0,0.09615384615384616,0.0,0.05078125,52.0,1.0,0.9887164116439634,0.03260869565217391
0.1,extreme,mahalanobis,3,0.08365885416666667,0.002032876952603645,0.07885304659498209,0.022383505370603577,0.0908203125,93.0,0.9963768115942028,0.998950363873857,0.0
0.1,extreme,msp,2,0.0458984375,0.0,0.09615384615384616,0.0,0.05078125,52.0,1.0,0.9881624370218325,0.03804347826086957
0.1,extreme,one_vs_rest,3,0.0888671875,0.0016914558667664816,0.02150537634408602,0.018624202231923414,0.0908203125,93.0,0.9963768115942028,0.9998056229396032,0.0
0.1,extreme,openmax,3,0.08365885416666667,0.0014917238590351043,0.07885304659498207,0.016425002490881146,0.0908203125,93.0,0.9963768115942028,0.9975119736269203,0.0036231884057971015
0.1,extreme,opensemcom,3,0.0888671875,0.0016914558667664816,0.02150537634408602,0.018624202231923414,0.0908203125,93.0,0.9963768115942028,0.9998056229396032,0.0
0.1,extreme,receiver_only,3,0.08561197916666667,0.002457628396898031,0.057347670250896064,0.027060338477672943,0.0908203125,93.0,0.9963768115942028,0.9966120078372831,0.0036231884057971015
0.1,hard,energy,3,0.23307291666666666,0.01462672001214907,0.09262998563592216,0.005649212877814254,0.2568359375,263.0,0.99609375,0.9835578070746528,0.037760416666666664
0.1,hard,mahalanobis,3,0.248046875,0.001953125,0.08303249097472924,0.0072202166064982,0.2705078125,277.0,0.99609375,0.998689439561632,0.0013020833333333333
0.1,hard,msp,3,0.23307291666666666,0.01462672001214907,0.09262998563592216,0.005649212877814254,0.2568359375,263.0,0.99609375,0.98150634765625,0.040364583333333336
0.1,hard,one_vs_rest,3,0.2490234375,0.0016914558667664816,0.07942238267148015,0.00625289100205371,0.2705078125,277.0,0.99609375,0.9997948540581597,0.0
0.1,hard,openmax,3,0.24446614583333334,0.0020328769526036456,0.08392823213267826,0.01419598446922929,0.2669270833333333,273.3333333333333,0.99609375,0.9975162082248263,0.00390625
0.1,hard,opensemcom,3,0.24934895833333334,0.0011276372445109878,0.07821901323706378,0.004168594001369142,0.2705078125,277.0,0.9973958333333334,0.9997948540581597,0.0
0.1,hard,receiver_only,3,0.24544270833333334,0.003139209232094061,0.0675786940274875,0.02823909419823507,0.2633463541666667,269.6666666666667,0.9973958333333334,0.9966532389322916,0.009114583333333334
0.1,medium,energy,3,0.4136904761904762,0.006146842128667516,0.09372866928457284,0.006087597116942179,0.45647321428571425,409.0,0.9965277777777778,0.9826541476779513,0.04513888888888889
0.1,medium,mahalanobis,3,0.4270833333333333,0.0025774565588822487,0.050065671852543826,0.026266547337435244,0.44977678571428575,403.0,0.9965277777777778,0.9990997314453125,0.0008680555555555555
0.1,medium,msp,3,0.4133184523809524,0.005617436335766907,0.09453773077324597,0.004859000883152112,0.45647321428571425,409.0,0.9965277777777778,0.9809722900390625,0.04513888888888889
0.1,medium,one_vs_rest,3,0.4270833333333333,0.0025774565588822487,0.03602003585628933,0.010891016314766631,0.44308035714285715,397.0,0.9965277777777778,0.9998609754774305,0.0
0.1,medium,openmax,3,0.4270833333333333,0.0025774565588822487,0.07783901790312785,0.009963486833862846,0.46316964285714285,415.0,0.9965277777777778,0.9978247748480902,0.001736111111111111
0.1,medium,opensemcom,3,0.42782738095238093,0.0012887282794411244,0.041545431262149775,0.014217276052403836,0.44642857142857145,400.0,0.9982638888888888,0.9998609754774305,0.0
0.1,medium,receiver_only,3,0.42485119047619047,0.002808718167883468,0.06913159395151253,0.01727871481539485,0.45647321428571425,409.0,0.9982638888888888,0.9962599012586805,0.00954861111111111
0.1,medium,vim,2,0.07421875,0.0007891816754314119,0.08266742770167428,0.018700122257406786,0.08091517857142858,72.5,0.9947916666666667,0.5344429016113281,0.7018229166666667
0.1,mild,energy,3,0.5875,0.005633673867912502,0.08130134170979268,0.01504871732947588,0.6395833333333333,409.3333333333333,0.9965277777777778,0.9818352593315973,0.04340277777777777
0.1,mild,mahalanobis,3,0.5979166666666667,0.0036084391824351483,0.03031712200477944,0.013878547359415221,0.6166666666666667,394.6666666666667,0.9965277777777778,0.9989454481336807,0.0
0.1,mild,msp,3,0.5880208333333333,0.006505206248331695,0.09457788343805273,0.005722727676713662,0.6494791666666667,415.6666666666667,0.9965277777777778,0.980255126953125,0.04513888888888889
0.1,mild,one_vs_rest,3,0.5979166666666667,0.0036084391824351483,0.024590410988395872,0.008728042168576988,0.6130208333333333,392.3333333333333,0.9965277777777778,0.9997999403211805,0.0
0.1,mild,openmax,3,0.5979166666666667,0.0036084391824351483,0.04090438420494486,0.00738927268494929,0.6234375,399.0,0.9965277777777778,0.9977213541666666,0.006944444444444444
0.1,mild,opensemcom,3,0.5989583333333334,0.001804219591217542,0.028637860879674484,0.011750795821916824,0.6166666666666667,394.6666666666667,0.9982638888888888,0.9997999403211805,0.0
0.1,mild,receiver_only,3,0.5973958333333332,0.0032526031241658163,0.06917405922145259,0.0446148854282284,0.6427083333333333,411.3333333333333,0.9982638888888888,0.9957038031684027,0.008680555555555554
