accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
383,375,0.97911227154047,0.020887728459530026,8,0.5984375,0.9923502604166666,0.5984375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.5859375,mild,openout<=0.05,0.003223666376434281
392,380,0.9693877551020408,0.030612244897959183,12,0.5984375,0.9923502604166666,0.6125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.59375,mild,openout<=0.10,0.21846261203288986
310,308,0.9935483870967742,0.0064516129032258064,2,0.6,0.9884033203125,0.484375,0.033854166666666664,1.0,msp,0.25,0,0.48125,mild,openout<=0.05,0.001345483789158931
376,368,0.9787234042553191,0.02127659574468085,8,0.6,0.9884033203125,0.5875,0.033854166666666664,1.0,msp,0.25,0,0.575,mild,openout<=0.10,0.005329610637374869
295,293,0.9932203389830508,0.006779661016949152,2,0.6,0.98895263671875,0.4609375,0.033854166666666664,1.0,energy,0.25,0,0.4578125,mild,openout<=0.05,0.005702358226554756
387,373,0.9638242894056848,0.03617571059431524,14,0.6,0.98895263671875,0.6046875,0.033854166666666664,1.0,energy,0.25,0,0.5828125,mild,openout<=0.10,0.035650343474566096
301,301,1.0,0.0,0,0.6,0.98138427734375,0.4703125,0.12239583333333333,1.0,mahalanobis,0.25,0,0.4703125,mild,openout<=0.05,0.3848662424863586
305,305,1.0,0.0,0,0.6,0.98138427734375,0.4765625,0.12239583333333333,1.0,mahalanobis,0.25,0,0.4765625,mild,openout<=0.10,0.4068681940688271
86,85,0.9883720930232558,0.011627906976744186,1,0.6,0.9522908528645834,0.134375,0.2786458333333333,1.0,openmax,0.25,0,0.1328125,mild,openout<=0.05,0.17813283689562823
134,132,0.9850746268656716,0.014925373134328358,2,0.6,0.9522908528645834,0.209375,0.2786458333333333,1.0,openmax,0.25,0,0.20625,mild,openout<=0.10,0.24097015586928727
0,0,0.0,0.0,0,0.6,0.5210825602213541,0.0,0.7916666666666666,1.0,vim,0.25,0,0.0,mild,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.6,0.5210825602213541,0.0,0.7916666666666666,1.0,vim,0.25,0,0.0,mild,openout<=0.10,-9.999999974752427e-07
378,373,0.9867724867724867,0.013227513227513227,5,0.6,0.9918111165364584,0.590625,0.0078125,1.0,one_vs_rest,0.25,0,0.5828125,mild,openout<=0.05,0.030276787257872386
387,378,0.9767441860465116,0.023255813953488372,9,0.6,0.9918111165364584,0.6046875,0.0078125,1.0,one_vs_rest,0.25,0,0.590625,mild,openout<=0.10,0.11705934311055136
387,375,0.9689922480620154,0.031007751937984496,12,0.42745535714285715,0.9944356282552084,0.43191964285714285,0.0078125,0.9973958333333334,opensemcom,0.5,0,0.4185267857142857,medium,openout<=0.05,0.003223666376434281
405,380,0.9382716049382716,0.06172839506172839,25,0.42745535714285715,0.9944356282552084,0.45200892857142855,0.0078125,0.9973958333333334,opensemcom,0.5,0,0.42410714285714285,medium,openout<=0.10,0.21846261203288986
321,308,0.9595015576323987,0.040498442367601244,13,0.42857142857142855,0.9840291341145834,0.35825892857142855,0.033854166666666664,1.0,msp,0.5,0,0.34375,medium,openout<=0.05,0.001345483789158931
392,368,0.9387755102040817,0.061224489795918366,24,0.42857142857142855,0.9840291341145834,0.4375,0.033854166666666664,1.0,msp,0.5,0,0.4107142857142857,medium,openout<=0.10,0.005329610637374869
305,293,0.9606557377049181,0.03934426229508197,12,0.42857142857142855,0.9844309488932291,0.3404017857142857,0.0390625,1.0,energy,0.5,0,0.32700892857142855,medium,openout<=0.05,0.005702358226554756
401,373,0.9301745635910225,0.06982543640897755,28,0.42857142857142855,0.9844309488932291,0.44754464285714285,0.0390625,1.0,energy,0.5,0,0.41629464285714285,medium,openout<=0.10,0.035650343474566096
351,332,0.9458689458689459,0.05413105413105413,19,0.42857142857142855,0.9856007893880209,0.39174107142857145,0.10416666666666667,1.0,mahalanobis,0.5,0,0.3705357142857143,medium,openout<=0.05,0.3848662424863586
365,340,0.9315068493150684,0.0684931506849315,25,0.42857142857142855,0.9856007893880209,0.40736607142857145,0.10416666666666667,1.0,mahalanobis,0.5,0,0.3794642857142857,medium,openout<=0.10,0.4068681940688271
175,168,0.96,0.04,7,0.42857142857142855,0.9569040934244791,0.1953125,0.23177083333333334,1.0,openmax,0.5,0,0.1875,medium,openout<=0.05,0.17813283689562823
253,239,0.9446640316205533,0.05533596837944664,14,0.42857142857142855,0.9569040934244791,0.28236607142857145,0.23177083333333334,1.0,openmax,0.5,0,0.26674107142857145,medium,openout<=0.10,0.24097015586928727
0,0,0.0,0.0,0,0.42857142857142855,0.5496164957682291,0.0,0.6666666666666666,1.0,vim,0.5,0,0.0,medium,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.42857142857142855,0.5496164957682291,0.0,0.6666666666666666,1.0,vim,0.5,0,0.0,medium,openout<=0.10,-9.999999974752427e-07
385,373,0.9688311688311688,0.03116883116883117,12,0.42857142857142855,0.9922027587890625,0.4296875,0.0078125,1.0,one_vs_rest,0.5,0,0.41629464285714285,medium,openout<=0.05,0.030276787257872386
392,378,0.9642857142857143,0.03571428571428571,14,0.42857142857142855,0.9922027587890625,0.4375,0.0078125,1.0,one_vs_rest,0.5,0,0.421875,medium,openout<=0.10,0.11705934311055136
259,252,0.972972972972973,0.02702702702702703,7,0.2490234375,0.9974873860677084,0.2529296875,0.00390625,0.99609375,opensemcom,0.75,0,0.24609375,hard,openout<=0.05,0.003223666376434281
276,253,0.9166666666666666,0.08333333333333333,23,0.2490234375,0.9974873860677084,0.26953125,0.00390625,0.99609375,opensemcom,0.75,0,0.2470703125,hard,openout<=0.10,0.21846261203288986
214,204,0.9532710280373832,0.04672897196261682,10,0.25,0.9901072184244791,0.208984375,0.01953125,1.0,msp,0.75,0,0.19921875,hard,openout<=0.05,0.001345483789158931
272,249,0.9154411764705882,0.08455882352941177,23,0.25,0.9901072184244791,0.265625,0.01953125,1.0,msp,0.75,0,0.2431640625,hard,openout<=0.10,0.005329610637374869
201,193,0.9601990049751243,0.03980099502487562,8,0.25,0.9906972249348959,0.1962890625,0.015625,1.0,energy,0.75,0,0.1884765625,hard,openout<=0.05,0.005702358226554756
282,251,0.8900709219858156,0.1099290780141844,31,0.25,0.9906972249348959,0.275390625,0.015625,1.0,energy,0.75,0,0.2451171875,hard,openout<=0.10,0.035650343474566096
249,228,0.9156626506024096,0.08433734939759036,21,0.25,0.9869842529296875,0.2431640625,0.0859375,1.0,mahalanobis,0.75,0,0.22265625,hard,openout<=0.05,0.3848662424863586
279,235,0.8422939068100358,0.15770609318996415,44,0.25,0.9869842529296875,0.2724609375,0.0859375,1.0,mahalanobis,0.75,0,0.2294921875,hard,openout<=0.10,0.4068681940688271
168,156,0.9285714285714286,0.07142857142857142,12,0.25,0.9643758138020834,0.1640625,0.17578125,1.0,openmax,0.75,0,0.15234375,hard,openout<=0.05,0.17813283689562823
218,187,0.8577981651376146,0.14220183486238533,31,0.25,0.9643758138020834,0.212890625,0.17578125,1.0,openmax,0.75,0,0.1826171875,hard,openout<=0.10,0.24097015586928727
0,0,0.0,0.0,0,0.25,0.5613632202148438,0.0,0.70703125,1.0,vim,0.75,0,0.0,hard,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.25,0.5613632202148438,0.0,0.70703125,1.0,vim,0.75,0,0.0,hard,openout<=0.10,-9.999999974752427e-07
257,248,0.9649805447470817,0.03501945525291829,9,0.25,0.9958241780598959,0.2509765625,0.00390625,1.0,one_vs_rest,0.75,0,0.2421875,hard,openout<=0.05,0.030276787257872386
268,252,0.9402985074626866,0.05970149253731343,16,0.25,0.9958241780598959,0.26171875,0.00390625,1.0,one_vs_rest,0.75,0,0.24609375,hard,openout<=0.10,0.11705934311055136
104,91,0.875,0.125,13,0.08984375,0.9968977421160664,0.1015625,0.0,1.0,opensemcom,0.91,0,0.0888671875,extreme,openout<=0.05,0.003223666376434281
124,92,0.7419354838709677,0.25806451612903225,32,0.08984375,0.9968977421160664,0.12109375,0.0,1.0,opensemcom,0.91,0,0.08984375,extreme,openout<=0.10,0.21846261203288986
85,75,0.8823529411764706,0.11764705882352941,10,0.08984375,0.9929557753312185,0.0830078125,0.010869565217391304,1.0,msp,0.91,0,0.0732421875,extreme,openout<=0.05,0.001345483789158931
123,91,0.7398373983739838,0.2601626016260163,32,0.08984375,0.9929557753312185,0.1201171875,0.010869565217391304,1.0,msp,0.91,0,0.0888671875,extreme,openout<=0.10,0.005329610637374869
82,73,0.8902439024390244,0.10975609756097561,9,0.08984375,0.9930374136965852,0.080078125,0.0,1.0,energy,0.91,0,0.0712890625,extreme,openout<=0.05,0.005702358226554756
132,91,0.6893939393939394,0.3106060606060606,41,0.08984375,0.9930374136965852,0.12890625,0.0,1.0,energy,0.91,0,0.0888671875,extreme,openout<=0.10,0.035650343474566096
152,85,0.5592105263157895,0.4407894736842105,67,0.08984375,0.9875326553461466,0.1484375,0.11956521739130435,1.0,mahalanobis,0.91,0,0.0830078125,extreme,openout<=0.05,0.3848662424863586
182,88,0.4835164835164835,0.5164835164835165,94,0.08984375,0.9875326553461466,0.177734375,0.11956521739130435,1.0,mahalanobis,0.91,0,0.0859375,extreme,openout<=0.10,0.4068681940688271
150,79,0.5266666666666666,0.47333333333333333,71,0.08984375,0.9628370498227281,0.146484375,0.1956521739130435,1.0,openmax,0.91,0,0.0771484375,extreme,openout<=0.05,0.17813283689562823
259,89,0.3436293436293436,0.6563706563706564,170,0.08984375,0.9628370498227281,0.2529296875,0.1956521739130435,1.0,openmax,0.91,0,0.0869140625,extreme,openout<=0.10,0.24097015586928727
0,0,0.0,0.0,0,0.08984375,0.5386441033774958,0.0,0.9239130434782609,1.0,vim,0.91,0,0.0,extreme,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.08984375,0.5386441033774958,0.0,0.9239130434782609,1.0,vim,0.91,0,0.0,extreme,openout<=0.10,-9.999999974752427e-07
107,90,0.8411214953271028,0.1588785046728972,17,0.08984375,0.9960113827206568,0.1044921875,0.0,1.0,one_vs_rest,0.91,0,0.087890625,extreme,openout<=0.05,0.030276787257872386
116,92,0.7931034482758621,0.20689655172413793,24,0.08984375,0.9960113827206568,0.11328125,0.0,1.0,one_vs_rest,0.91,0,0.08984375,extreme,openout<=0.10,0.11705934311055136
369,367,0.994579945799458,0.005420054200542005,2,0.6,0.9947916666666666,0.5765625,0.018229166666666668,1.0,opensemcom,0.25,1,0.5734375,mild,openout<=0.05,0.005032246857881552
383,375,0.97911227154047,0.020887728459530026,8,0.6,0.9947916666666666,0.5984375,0.018229166666666668,1.0,opensemcom,0.25,1,0.5859375,mild,openout<=0.10,0.5948038172721842
361,352,0.9750692520775623,0.024930747922437674,9,0.6,0.9791056315104166,0.5640625,0.0546875,1.0,msp,0.25,1,0.55,mild,openout<=0.05,0.0033032927926378323
382,365,0.9554973821989529,0.04450261780104712,17,0.6,0.9791056315104166,0.596875,0.0546875,1.0,msp,0.25,1,0.5703125,mild,openout<=0.10,0.014378969101292802
361,352,0.9750692520775623,0.024930747922437674,9,0.6,0.9808247884114584,0.5640625,0.0546875,1.0,energy,0.25,1,0.55,mild,openout<=0.05,0.01438482766776342
381,364,0.9553805774278216,0.04461942257217848,17,0.6,0.9808247884114584,0.5953125,0.0546875,1.0,energy,0.25,1,0.56875,mild,openout<=0.10,0.05002495739425688
319,318,0.9968652037617555,0.003134796238244514,1,0.6,0.9856058756510416,0.4984375,0.09114583333333333,1.0,mahalanobis,0.25,1,0.496875,mild,openout<=0.05,0.3665841105817017
327,324,0.9908256880733946,0.009174311926605505,3,0.6,0.9856058756510416,0.5109375,0.09114583333333333,1.0,mahalanobis,0.25,1,0.50625,mild,openout<=0.10,0.39142937958824553
166,165,0.9939759036144579,0.006024096385542169,1,0.6,0.957061767578125,0.259375,0.2265625,1.0,openmax,0.25,1,0.2578125,mild,openout<=0.05,0.20006900028902005
229,225,0.982532751091703,0.017467248908296942,4,0.6,0.957061767578125,0.3578125,0.2265625,1.0,openmax,0.25,1,0.3515625,mild,openout<=0.10,0.2543203283848472
0,0,0.0,0.0,0,0.6,0.4607187906901042,0.0,0.8072916666666666,1.0,vim,0.25,1,0.0,mild,openout<=0.05,-9.999999974752427e-07
89,76,0.8539325842696629,0.14606741573033707,13,0.6,0.4607187906901042,0.1390625,0.8072916666666666,1.0,vim,0.25,1,0.11875,mild,openout<=0.10,0.07325809448957443
369,367,0.994579945799458,0.005420054200542005,2,0.6,0.9921162923177084,0.5765625,0.0234375,1.0,one_vs_rest,0.25,1,0.5734375,mild,openout<=0.05,0.030751926672087444
377,373,0.9893899204244032,0.010610079575596816,4,0.6,0.9921162923177084,0.5890625,0.0234375,1.0,one_vs_rest,0.25,1,0.5828125,mild,openout<=0.10,0.3305474567261969
372,367,0.9865591397849462,0.013440860215053764,5,0.42857142857142855,0.9941355387369791,0.41517857142857145,0.0234375,1.0,opensemcom,0.5,1,0.4095982142857143,medium,openout<=0.05,0.005032246857881552
402,375,0.9328358208955224,0.06716417910447761,27,0.42857142857142855,0.9941355387369791,0.4486607142857143,0.0234375,1.0,opensemcom,0.5,1,0.4185267857142857,medium,openout<=0.10,0.5948038172721842
371,352,0.9487870619946092,0.05121293800539083,19,0.42857142857142855,0.9829508463541666,0.4140625,0.0546875,1.0,msp,0.5,1,0.39285714285714285,medium,openout<=0.05,0.0033032927926378323
399,365,0.9147869674185464,0.08521303258145363,34,0.42857142857142855,0.9829508463541666,0.4453125,0.0546875,1.0,msp,0.5,1,0.40736607142857145,medium,openout<=0.10,0.014378969101292802
371,352,0.9487870619946092,0.05121293800539083,19,0.42857142857142855,0.9851735432942709,0.4140625,0.0546875,1.0,energy,0.5,1,0.39285714285714285,medium,openout<=0.05,0.01438482766776342
396,364,0.9191919191919192,0.08080808080808081,32,0.42857142857142855,0.9851735432942709,0.4419642857142857,0.0546875,1.0,energy,0.5,1,0.40625,medium,openout<=0.10,0.05002495739425688
324,320,0.9876543209876543,0.012345679012345678,4,0.42857142857142855,0.9821980794270834,0.36160714285714285,0.11197916666666667,1.0,mahalanobis,0.5,1,0.35714285714285715,medium,openout<=0.05,0.3665841105817017
337,327,0.9703264094955489,0.02967359050445104,10,0.42857142857142855,0.9821980794270834,0.37611607142857145,0.11197916666666667,1.0,mahalanobis,0.5,1,0.36495535714285715,medium,openout<=0.10,0.39142937958824553
201,199,0.9900497512437811,0.009950248756218905,2,0.42857142857142855,0.9607950846354166,0.22433035714285715,0.20833333333333334,1.0,openmax,0.5,1,0.22209821428571427,medium,openout<=0.05,0.20006900028902005
268,258,0.9626865671641791,0.03731343283582089,10,0.42857142857142855,0.9607950846354166,0.29910714285714285,0.20833333333333334,1.0,openmax,0.5,1,0.28794642857142855,medium,openout<=0.10,0.2543203283848472
0,0,0.0,0.0,0,0.42857142857142855,0.54339599609375,0.0,0.7239583333333334,1.0,vim,0.5,1,0.0,medium,openout<=0.05,-9.999999974752427e-07
108,96,0.8888888888888888,0.1111111111111111,12,0.42857142857142855,0.54339599609375,0.12053571428571429,0.7239583333333334,1.0,vim,0.5,1,0.10714285714285714,medium,openout<=0.10,0.07325809448957443
373,367,0.9839142091152815,0.0160857908847185,6,0.42857142857142855,0.9919331868489584,0.41629464285714285,0.026041666666666668,1.0,one_vs_rest,0.5,1,0.4095982142857143,medium,openout<=0.05,0.030751926672087444
392,373,0.951530612244898,0.04846938775510204,19,0.42857142857142855,0.9919331868489584,0.4375,0.026041666666666668,1.0,one_vs_rest,0.5,1,0.41629464285714285,medium,openout<=0.10,0.3305474567261969
256,244,0.953125,0.046875,12,0.25,0.9952036539713541,0.25,0.02734375,1.0,opensemcom,0.75,1,0.23828125,hard,openout<=0.05,0.005032246857881552
289,249,0.8615916955017301,0.1384083044982699,40,0.25,0.9952036539713541,0.2822265625,0.02734375,1.0,opensemcom,0.75,1,0.2431640625,hard,openout<=0.10,0.5948038172721842
